1	1001	txc	10	0	0	0	0	1	1
2	1002	T1вхM1Г	8	0	0	0	0	1	1
3	1003	T1вхM2Г	8	0	0	0	0	1	1
4	1004	T1вхM3Г	8	0	0	0	0	1	1
5	1005	T1вхM4Г	8	0	0	0	0	1	1
6	1006	T1вхM5Г	8	0	0	0	0	1	1
7	1008	T1вхМ1-5Х	8	0	0	0	0	1	1
8	1009	T1выхМ1ГХ2	8	0	0	0	0	1	1
9	1010	T_R_1	8	0	0	0	0	1	1
10	1011	G4	12	1.0600779	1250000	0.02	0	9	21
11	1012	G1вхМ1Г	12	0.158537	312500	0.02	0	2	20
12	1013	G1вхМ2Г	12	0.158537	312500	0.02	0	3	19
13	1014	G1вхМ3Г	12	0.158537	312500	0.02	0	4	18
14	1015	G1вхМ4Г	12	0.158537	312500	0.02	0	5	17
15	1016	G1вхМ5Г	12	0.158537	312500	0.02	0	6	16
16	1017	P1-вх-М5	1	0	2.455796	2.036	0	1	1
17	1018	P1-вх-М4	1	0	2.45098	2.04	0	1	1
18	1019	P1-вх-М3	1	0	2.446184	2.044	0	1	1
19	1020	P1-вх-М2	1	0	2.45098	2.04	0	1	1
20	1021	P1-вх-М1	1	0	2.446184	2.044	0	1	1
21	1022	P1вхМКУ	1	0	2.5	0	0	1	1
22	1023	U1	1	0	30	0	0	1	1
23	1024	G1вхМ1-5Х	11	0	0.0001012	0.0001921	0	7	21
